iter	RMSE
0	8.567398131
1	7.715402035
2	6.948266386
3	6.258079172
4	5.636662345
5	5.077975766
6	4.575058832
7	4.122780858
8	3.716169972
9	3.350230817
10	3.021216673
11	2.726354234
12	2.460701482
13	2.222841571
14	2.008438851
15	1.816582137
16	1.643829465
17	1.488811978
18	1.350301949
19	1.226688768
20	1.116181183
21	1.017832718
22	0.9300271233
23	0.8520551946
24	0.7830502462
25	0.7222385957
26	0.6686370766
27	0.6218766571
28	0.5809091739
29	0.5452277118
30	0.514633764
31	0.4881094143
32	0.4653356927
33	0.4457753589
34	0.4291524157
35	0.4150925798
36	0.403229327
37	0.393120664
38	0.3848128906
39	0.377713516
40	0.3718093708
41	0.3668584916
42	0.3626501687
43	0.3592115392
44	0.3562954955
45	0.3537582744
46	0.3516291104
47	0.3499544374
48	0.3484245163
49	0.3471944196
50	0.3460742866
51	0.3451028264
52	0.3442822593
53	0.3435199849
54	0.3429777525
55	0.3422963396
56	0.3417733645
57	0.3413739021
58	0.3409129495
59	0.3405883689
60	0.3402701704
61	0.3398423675
62	0.3396157162
63	0.3392876215
64	0.3390747604
65	0.3388918717
66	0.338668538
67	0.3384794488
68	0.3379652748
69	0.3377332295
70	0.337595529
71	0.3374095658
72	0.3372932324
73	0.3371527321
74	0.3369405102
75	0.3368215379
76	0.3366789346
77	0.3363413492
78	0.3361005938
79	0.3359380324
80	0.3356462749
81	0.3353743966
82	0.3351093624
83	0.3349483108
84	0.3348123168
85	0.3346555688
86	0.334544719
87	0.3343988129
88	0.3342921026
89	0.3341219246
90	0.3340343509
91	0.3339114869
92	0.3338056681
93	0.3335836005
94	0.3334404383
95	0.3331193352
96	0.3330198417
97	0.3329269005
98	0.3327630619
99	0.3326344777
100	0.3325037554
101	0.3323243491
102	0.3322545649
103	0.3321855904
104	0.3319186964
105	0.3317525396
106	0.331642593
107	0.3315417645
108	0.331327527
109	0.3312043175
110	0.3311104308
111	0.331008622
112	0.3308426503
113	0.3307103182
114	0.3306429096
115	0.3305229791
116	0.3302936056
117	0.3300716209
118	0.3300045099
119	0.3299124964
120	0.3297900561
121	0.3297090713
122	0.3296418323
123	0.329520291
124	0.3294318947
125	0.329351508
126	0.3292725078
127	0.329212099
128	0.329146115
129	0.3289878911
130	0.3289398503
131	0.3288726153
132	0.3288303005
133	0.3287793482
134	0.3286234505
135	0.328517487
136	0.3283257746
137	0.3282114054
138	0.3281513986
139	0.3281061508
140	0.3278938853
141	0.3278293627
142	0.3277418035
143	0.3276937215
144	0.3276314006
145	0.3275304844
146	0.3274624592
147	0.3274031418
148	0.3272220018
149	0.3271173773
150	0.326959895
151	0.3267391607
152	0.32666614
153	0.3266094202
154	0.3264782918
155	0.326305185
156	0.3262231439
157	0.326169929
158	0.3261336655
159	0.3260669347
160	0.3260217349
161	0.3259804699
162	0.3258930717
163	0.325821826
164	0.3257305664
165	0.325613501
166	0.3255483045
167	0.325357122
168	0.3253205187
169	0.3251401648
170	0.3250596866
171	0.3249377379
172	0.3248196472
173	0.324720251
174	0.3246635215
175	0.3245845566
176	0.3245437949
177	0.3244606587
178	0.3244210047
179	0.3242979912
180	0.3241326231
181	0.3240978563
182	0.323990541
183	0.3238603036
184	0.3238221873
185	0.3237005568
186	0.3236338814
187	0.3235624825
188	0.3234668437
189	0.3233708654
190	0.3233208747
191	0.3232341972
192	0.3231780258
193	0.3230531212
194	0.3230037443
195	0.3229516963
196	0.3228789401
197	0.3228114566
198	0.3227409783
199	0.3226800253
200	0.3225734578
201	0.3224746231
202	0.3224009255
203	0.322321049
204	0.3222746489
205	0.3221915416
206	0.322150023
207	0.3220951489
208	0.3220716816
209	0.322013444
210	0.3219819553
211	0.3219471516
212	0.321841699
213	0.3217140167
214	0.3216125102
215	0.3215487125
216	0.3214945252
217	0.3214481101
218	0.3214070935
219	0.3213591377
220	0.3213053742
221	0.3212501486
222	0.3212123351
223	0.3211606981
224	0.3211384819
225	0.321091104
226	0.3209520349
227	0.3208621241
228	0.320785037
229	0.3207125038
230	0.3206792666
231	0.3206178957
232	0.3205879396
233	0.3204956972
234	0.3204376775
235	0.3204005394
236	0.3203417764
237	0.3202930476
238	0.3202545504
239	0.3201811459
240	0.3201504491
241	0.3201126122
242	0.3200815276
243	0.3200260331
244	0.3199840642
245	0.3199469997
246	0.3198943483
247	0.3198299553
248	0.3197892832
249	0.3197580568
250	0.3197259723
251	0.3196731893
252	0.3195563812
253	0.3194679206
254	0.3193548322
255	0.3192946787
256	0.319265223
257	0.3192315728
258	0.3191775402
259	0.3191129543
260	0.3190592555
261	0.3189801285
262	0.3189344111
263	0.3188970527
264	0.3188791401
265	0.318767232
266	0.3187300325
267	0.3186873822
268	0.3186542113
269	0.3185925692
270	0.3184784752
271	0.3184157948
272	0.3183390341
273	0.3182454876
274	0.3182118986
275	0.3181589346
276	0.3181331761
277	0.3180540235
278	0.3180255386
279	0.3179578229
280	0.3179148324
281	0.3178476861
282	0.317768805
283	0.3177132248
284	0.3176432537
285	0.3175825139
286	0.3175592616
287	0.3175381975
288	0.317473042
289	0.3174036657
290	0.3173351679
291	0.3172771549
292	0.3172260651
293	0.3171847106
294	0.317150755
295	0.3170672048
296	0.3170151709
297	0.3169232794
298	0.3168778443
299	0.3167999163
300	0.3167690165
301	0.3166943589
302	0.3166583694
303	0.3166430034
304	0.3166074297
305	0.316569366
306	0.3165239
307	0.3164577318
308	0.3163797077
309	0.3163194059
310	0.3162773128
311	0.3162253913
312	0.3161720911
313	0.3161352733
314	0.3160763498
315	0.3159381793
316	0.3158799427
317	0.3158396822
318	0.3158114716
319	0.3157581288
320	0.3157253847
321	0.3156508008
322	0.315582131
323	0.315508972
324	0.3154897447
325	0.3154459478
326	0.3153702021
327	0.3153179506
328	0.3152868819
329	0.3152327077
330	0.3151544043
331	0.315090742
332	0.3150469942
333	0.314978975
334	0.3149358473
335	0.3149234472
336	0.3148873703
337	0.3148213005
338	0.3146816043
339	0.3146362501
340	0.3145541028
341	0.3145319861
342	0.3145072377
343	0.3144619927
344	0.3144171272
345	0.3143885906
346	0.314371202
347	0.3143083521
348	0.3142902513
349	0.3141694393
350	0.3140889335
351	0.3140498777
352	0.3140244689
353	0.313991746
354	0.3139695997
355	0.3138119199
356	0.3137750513
357	0.313748891
358	0.3137348148
359	0.313640358
360	0.3136007074
361	0.3135306063
362	0.3134584393
363	0.3134164397
364	0.3133794839
365	0.3133583151
366	0.3133302004
367	0.3132580744
368	0.3132224482
369	0.3132064488
370	0.3131523613
371	0.3130541154
372	0.3130268457
373	0.3129823696
374	0.3129370446
375	0.3129092179
376	0.3128350842
377	0.3128031333
378	0.3127499291
379	0.3127177203
380	0.3126677049
381	0.312647964
382	0.312626685
383	0.3125595109
384	0.3125337312
385	0.3125066648
386	0.3124830252
387	0.3124607006
388	0.3124363405
389	0.3124227582
390	0.3123697574
391	0.3123362458
392	0.3122962763
393	0.3122438624
394	0.3121995195
395	0.3121359501
396	0.312068421
397	0.3120438733
398	0.3120081904
399	0.3119699565
400	0.3119463772
401	0.3119267929
402	0.3118833563
403	0.3118535515
404	0.3118066571
405	0.3117845402
406	0.3117010041
407	0.3116591192
408	0.3116128047
409	0.3115834209
410	0.3115423946
411	0.3114941326
412	0.3114742541
413	0.311401665
414	0.3113875013
415	0.3113643236
416	0.311328933
417	0.3112621367
418	0.3112240203
419	0.3111708423
420	0.311131743
421	0.3110895541
422	0.3110198192
423	0.3109911253
424	0.3109522139
425	0.3109238794
426	0.3108765175
427	0.3108483438
428	0.3108127773
429	0.3107434372
430	0.3107045189
431	0.3106593711
432	0.3106294095
433	0.3105845387
434	0.3105360892
435	0.3105144245
436	0.3104863169
437	0.3104338626
438	0.310400995
439	0.3103853705
440	0.3103475782
441	0.3102926922
442	0.3102759614
443	0.3102464222
444	0.3101926962
445	0.3101205089
446	0.3100702205
447	0.3100220953
448	0.3099888113
449	0.3099317983
450	0.3099016212
451	0.3098317318
452	0.309789766
453	0.3097478147
454	0.3097169606
455	0.3096972491
456	0.3096659153
457	0.3096166005
458	0.309577695
459	0.309554013
460	0.3095247705
461	0.3094850125
462	0.3094625043
463	0.3094203094
464	0.3093796614
465	0.3093365727
466	0.3092988867
467	0.3092699078
468	0.3092398208
469	0.3092287978
470	0.309184129
471	0.3091543972
472	0.3091087522
473	0.3090726878
474	0.309047857
475	0.3090082945
476	0.3089762841
477	0.3089423041
478	0.3088937562
479	0.3088650344
480	0.3088201388
481	0.3087921679
482	0.3087706804
483	0.3087453049
484	0.3087184995
485	0.3085926997
486	0.3085497735
487	0.3084807004
488	0.308467956
489	0.3084391919
490	0.3084083533
491	0.3083380532
492	0.3082927548
493	0.3082719023
494	0.3082390351
495	0.3082096849
496	0.308176612
497	0.3081109303
498	0.3080735392
499	0.3080490573
500	0.308006114
501	0.3079740472
502	0.3079422246
503	0.3079018472
504	0.3078773418
505	0.3078114135
506	0.3077835024
507	0.3077720843
508	0.3077380985
509	0.3076878188
510	0.3076433768
511	0.3075836765
512	0.3075258315
513	0.3074922973
