iter	Passed	Remaining
0	527	526680
1	1160	579076
2	1668	554661
3	2280	567749
4	2742	545711
5	3226	534493
6	3754	532591
7	4279	530684
8	4802	528761
9	5394	534077
10	5992	538776
11	6475	533162
12	7002	531621
13	7685	541280
14	8290	544438
15	8925	548898
16	9608	555580
17	10287	561252
18	10977	566786
19	11658	571268
20	12358	576133
21	13083	581631
22	13780	585375
23	14468	588386
24	15178	591944
25	15885	595086
26	16568	597081
27	17302	600636
28	18032	603773
29	18694	604449
30	19417	606940
31	20122	608703
32	20852	611035
33	21568	612789
34	22293	614659
35	23013	616250
36	23678	616282
37	24389	617429
38	25129	619216
39	25856	620548
40	26600	622189
41	27307	622860
42	27977	622666
43	28689	623338
44	29432	624625
45	30169	625696
46	30916	626884
47	31624	627226
48	32385	628551
49	33085	628625
50	33757	628145
51	34463	628297
52	35213	629193
53	35994	630563
54	36741	631287
55	37425	630886
56	38140	630988
57	38854	631054
58	39593	631488
59	40366	632406
60	41026	631536
61	41684	630639
62	42395	630554
63	43150	631070
64	43853	630809
65	44583	630917
66	45336	631331
67	46102	631876
68	46810	631597
69	47464	630598
70	48243	631239
71	48941	630796
72	49712	631280
73	50446	631265
74	51116	630435
75	51781	629554
76	52521	629576
77	53249	629434
78	53970	629194
79	54656	628548
80	55370	628215
81	56050	627496
82	56803	627578
83	57464	626636
84	58174	626232
85	58924	626243
86	59694	626448
87	60463	626621
88	61212	626569
89	61912	626005
90	62690	626220
91	63409	625827
92	64174	625872
93	64873	625269
94	65623	625148
95	66324	624558
96	67001	623733
97	67775	623810
98	68484	623281
99	69344	624103
100	70007	623136
101	70719	622610
102	71481	622517
103	72188	621933
104	72898	621370
105	73571	620503
106	74343	620452
107	75103	620299
108	75774	619406
109	76425	618355
110	77158	617966
111	77909	617713
112	78615	617094
113	79312	616413
114	80076	616237
115	80789	615670
116	81434	614586
117	82142	613980
118	82894	613697
119	83625	613256
120	84375	612943
121	85104	612474
122	85826	611953
123	86555	611475
124	87284	610994
125	88044	610718
126	88750	610070
127	89488	609641
128	90243	609321
129	90958	608722
130	91658	608026
131	92403	607624
132	93156	607270
133	93928	607028
134	94638	606389
135	95370	605884
136	96026	604898
137	96685	603935
138	97391	603265
139	98118	602727
140	98775	601757
141	99527	601371
142	100277	600965
143	100976	600247
144	101675	599535
145	102380	598857
146	103099	598258
147	103866	597934
148	104569	597236
149	105327	596858
150	106035	596183
151	106720	595385
152	107413	594636
153	108185	594315
154	108846	593388
155	109555	592723
156	110223	591834
157	110905	591028
